id,quarter,months,partial,qtd_return,as_of
iCRDLSC,2022Q1,3,0,-0.012944,2026-07
iCRDLSC,2022Q2,3,0,-0.03822,2026-07
iCRDLSC,2022Q3,3,0,0.003817,2026-07
iCRDLSC,2022Q4,3,0,0.027701,2026-07
iCRDLSC,2023Q1,3,0,0.020469,2026-07
iCRDLSC,2023Q2,3,0,0.020837,2026-07
iCRDLSC,2023Q3,3,0,0.020723,2026-07
iCRDLSC,2023Q4,3,0,0.035171,2026-07
iCRDLSC,2024Q1,3,0,0.02826,2026-07
iCRDLSC,2024Q2,3,0,0.013047,2026-07
iCRDLSC,2024Q3,3,0,0.029585,2026-07
iCRDLSC,2024Q4,3,0,0.018208,2026-07
iCRDLSC,2025Q1,3,0,0.012366,2026-07
iCRDLSC,2025Q2,3,0,0.017736,2026-07
iCRDLSC,2025Q3,3,0,0.02877,2026-07
iCRDLSC,2025Q4,3,0,0.005201,2026-07
iCRDLSC,2026Q1,3,0,0.002826,2026-07
iCRDLSC,2026Q2,3,0,0.031179,2026-07
iCRDLSC,2026Q3,1,1,-0.0047,2026-07
iCRDMBS,2000Q1,3,0,-0.014039,2026-07
iCRDMBS,2000Q2,3,0,0.07718,2026-07
iCRDMBS,2000Q3,3,0,0.055706,2026-07
iCRDMBS,2000Q4,3,0,0.034495,2026-07
iCRDMBS,2001Q1,3,0,0.102172,2026-07
iCRDMBS,2001Q2,3,0,0.020871,2026-07
iCRDMBS,2001Q3,3,0,0.012591,2026-07
iCRDMBS,2001Q4,3,0,0.156329,2026-07
iCRDMBS,2002Q1,3,0,0.034852,2026-07
iCRDMBS,2002Q2,3,0,0.038872,2026-07
iCRDMBS,2002Q3,3,0,0.112348,2026-07
iCRDMBS,2002Q4,3,0,0.07011,2026-07
iCRDMBS,2003Q1,3,0,0.048531,2026-07
iCRDMBS,2003Q2,3,0,0.01744,2026-07
iCRDMBS,2003Q3,3,0,-0.042842,2026-07
iCRDMBS,2003Q4,3,0,0.052834,2026-07
iCRDMBS,2004Q1,3,0,0.046122,2026-07
iCRDMBS,2004Q2,3,0,-0.002775,2026-07
iCRDMBS,2004Q3,3,0,0.021845,2026-07
iCRDMBS,2004Q4,3,0,0.026422,2026-07
iCRDMBS,2005Q1,3,0,0.01004,2026-07
iCRDMBS,2005Q2,3,0,0.011029,2026-07
iCRDMBS,2005Q3,3,0,0.01356,2026-07
iCRDMBS,2005Q4,3,0,0.02217,2026-07
iCRDMBS,2006Q1,3,0,0.024965,2026-07
iCRDMBS,2006Q2,3,0,0.024088,2026-07
iCRDMBS,2006Q3,3,0,0.014247,2026-07
iCRDMBS,2006Q4,3,0,0.031075,2026-07
iCRDMBS,2007Q1,3,0,0.032846,2026-07
iCRDMBS,2007Q2,3,0,0.024285,2026-07
iCRDMBS,2007Q3,3,0,0.01451,2026-07
iCRDMBS,2007Q4,3,0,0.061993,2026-07
iCRDMBS,2008Q1,3,0,0.053924,2026-07
iCRDMBS,2008Q2,3,0,0.015063,2026-07
iCRDMBS,2008Q3,3,0,-0.07004,2026-07
iCRDMBS,2008Q4,3,0,-0.101718,2026-07
iCRDMBS,2009Q1,3,0,0.120399,2026-07
iCRDMBS,2009Q2,3,0,0.114342,2026-07
iCRDMBS,2009Q3,3,0,0.160897,2026-07
iCRDMBS,2009Q4,3,0,0.080731,2026-07
iCRDMBS,2010Q1,3,0,0.046357,2026-07
iCRDMBS,2010Q2,3,0,0.056787,2026-07
iCRDMBS,2010Q3,3,0,0.082596,2026-07
iCRDMBS,2010Q4,3,0,0.084536,2026-07
iCRDMBS,2011Q1,3,0,0.060161,2026-07
iCRDMBS,2011Q2,3,0,0.029456,2026-07
iCRDMBS,2011Q3,3,0,-0.006187,2026-07
iCRDMBS,2011Q4,3,0,0.017304,2026-07
iCRDMBS,2012Q1,3,0,0.060467,2026-07
iCRDMBS,2012Q2,3,0,0.030809,2026-07
iCRDMBS,2012Q3,3,0,0.065056,2026-07
iCRDMBS,2012Q4,3,0,0.043398,2026-07
iCRDMBS,2013Q1,3,0,0.044756,2026-07
iCRDMBS,2013Q2,3,0,0.007139,2026-07
iCRDMBS,2013Q3,3,0,0.023176,2026-07
iCRDMBS,2013Q4,3,0,0.038782,2026-07
iCRDMBS,2014Q1,3,0,0.039611,2026-07
iCRDMBS,2014Q2,3,0,0.030094,2026-07
iCRDMBS,2014Q3,3,0,0.024379,2026-07
iCRDMBS,2014Q4,3,0,0.008209,2026-07
iCRDMBS,2015Q1,3,0,0.019182,2026-07
iCRDMBS,2015Q2,3,0,0.016679,2026-07
iCRDMBS,2015Q3,3,0,-0.007,2026-07
iCRDMBS,2015Q4,3,0,-0.008394,2026-07
iCRDMBS,2016Q1,3,0,-0.028476,2026-07
