date,id,mtd
200703,iEQDGLSFUN,0.0204
200704,iEQDGLSFUN,0.0281
200705,iEQDGLSFUN,0.0414
200706,iEQDGLSFUN,0.0192
200707,iEQDGLSFUN,0.037
200708,iEQDGLSFUN,-0.0129
200709,iEQDGLSFUN,0.0495
200710,iEQDGLSFUN,0.0532
200711,iEQDGLSFUN,0.0004
200712,iEQDGLSFUN,0.0182
200801,iEQDGLSFUN,-0.0425
200802,iEQDGLSFUN,0.0299
200803,iEQDGLSFUN,-0.023
200804,iEQDGLSFUN,0.0254
200805,iEQDGLSFUN,0.0277
200806,iEQDGLSFUN,-0.0097
200807,iEQDGLSFUN,-0.03
200808,iEQDGLSFUN,-0.0193
200809,iEQDGLSFUN,-0.0715
200810,iEQDGLSFUN,-0.0798
200811,iEQDGLSFUN,-0.0199
200812,iEQDGLSFUN,0.0236
200901,iEQDGLSFUN,-0.0025
200902,iEQDGLSFUN,-0.0132
200903,iEQDGLSFUN,0.0217
200904,iEQDGLSFUN,0.0507
200905,iEQDGLSFUN,0.0936
200906,iEQDGLSFUN,0.0004
200907,iEQDGLSFUN,0.0332
200908,iEQDGLSFUN,0.0124
200909,iEQDGLSFUN,0.0345
200910,iEQDGLSFUN,-0.0061
200911,iEQDGLSFUN,0.0163
200912,iEQDGLSFUN,0.0181
201001,iEQDGLSFUN,-0.0105
201002,iEQDGLSFUN,0.01
201003,iEQDGLSFUN,0.0317
201004,iEQDGLSFUN,0.0058
201005,iEQDGLSFUN,-0.0419
201006,iEQDGLSFUN,-0.0154
201007,iEQDGLSFUN,0.0215
201008,iEQDGLSFUN,-0.006
201009,iEQDGLSFUN,0.0518
201010,iEQDGLSFUN,0.0267
201011,iEQDGLSFUN,-0.0004
201012,iEQDGLSFUN,0.0269
201101,iEQDGLSFUN,-0.0092
201102,iEQDGLSFUN,0.0099
201103,iEQDGLSFUN,0.0053
201104,iEQDGLSFUN,0.0262
201105,iEQDGLSFUN,-0.0096
201106,iEQDGLSFUN,-0.0106
201107,iEQDGLSFUN,0.0043
201108,iEQDGLSFUN,-0.0397
201109,iEQDGLSFUN,-0.0358
201110,iEQDGLSFUN,0.0441
201111,iEQDGLSFUN,-0.015
201112,iEQDGLSFUN,-0.008
201201,iEQDGLSFUN,0.027
201202,iEQDGLSFUN,0.0315
201203,iEQDGLSFUN,0.0182
201204,iEQDGLSFUN,0.0021
201205,iEQDGLSFUN,-0.0285
201206,iEQDGLSFUN,0.0017
201207,iEQDGLSFUN,0.0144
201208,iEQDGLSFUN,0.0188
201209,iEQDGLSFUN,0.0159
201210,iEQDGLSFUN,-0.0027
201211,iEQDGLSFUN,0.01
201212,iEQDGLSFUN,0.0122
201301,iEQDGLSFUN,0.0352
201302,iEQDGLSFUN,0.0085
201303,iEQDGLSFUN,0.0174
201304,iEQDGLSFUN,0.0061
201305,iEQDGLSFUN,0.0139
201306,iEQDGLSFUN,-0.0096
201307,iEQDGLSFUN,0.0227
201308,iEQDGLSFUN,-0.0146
201309,iEQDGLSFUN,0.0268
201310,iEQDGLSFUN,0.0181
201311,iEQDGLSFUN,0.016
201312,iEQDGLSFUN,0.0217
201401,iEQDGLSFUN,-0.0036
201402,iEQDGLSFUN,0.0259
201403,iEQDGLSFUN,-0.0102
201404,iEQDGLSFUN,-0.0121
201405,iEQDGLSFUN,0.0227
201406,iEQDGLSFUN,0.0103
201407,iEQDGLSFUN,-0.0143
201408,iEQDGLSFUN,0.0132
201409,iEQDGLSFUN,-0.0077
201410,iEQDGLSFUN,-0.0016
201411,iEQDGLSFUN,0.0129
201412,iEQDGLSFUN,0.0008
201501,iEQDGLSFUN,0.0034
201502,iEQDGLSFUN,0.0233
201503,iEQDGLSFUN,0.0049
201504,iEQDGLSFUN,0.0012
201505,iEQDGLSFUN,0.0157
201506,iEQDGLSFUN,-0.0049
201507,iEQDGLSFUN,0.0121
201508,iEQDGLSFUN,-0.0239
201509,iEQDGLSFUN,-0.0152
201510,iEQDGLSFUN,0.0188
201511,iEQDGLSFUN,-0.0044
201512,iEQDGLSFUN,-0.003
201601,iEQDGLSFUN,-0.0283
201602,iEQDGLSFUN,-0.0129
201603,iEQDGLSFUN,0.0137
201604,iEQDGLSFUN,0.0093
201605,iEQDGLSFUN,0.0174
201606,iEQDGLSFUN,-0.0009
201607,iEQDGLSFUN,0.0193
201608,iEQDGLSFUN,0.0012
201609,iEQDGLSFUN,0.0027
201610,iEQDGLSFUN,-0.0079
201611,iEQDGLSFUN,-0.0102
201612,iEQDGLSFUN,0.0036
201701,iEQDGLSFUN,0.0189
201702,iEQDGLSFUN,0.0111
201703,iEQDGLSFUN,0.0102
201704,iEQDGLSFUN,0.013
201705,iEQDGLSFUN,0.0148
201706,iEQDGLSFUN,-0.0002
201707,iEQDGLSFUN,0.0156
201708,iEQDGLSFUN,0.011
201709,iEQDGLSFUN,0.0039
201710,iEQDGLSFUN,0.015
201711,iEQDGLSFUN,-0.0012
201712,iEQDGLSFUN,0.0085
201801,iEQDGLSFUN,0.0359
201802,iEQDGLSFUN,-0.0129
201803,iEQDGLSFUN,-0.0047
201804,iEQDGLSFUN,0.0023
201805,iEQDGLSFUN,0.0069
201806,iEQDGLSFUN,-0.0081
201807,iEQDGLSFUN,0.0031
201808,iEQDGLSFUN,-0.0025
201809,iEQDGLSFUN,-0.0033
201810,iEQDGLSFUN,-0.032
201811,iEQDGLSFUN,-0.0046
201812,iEQDGLSFUN,-0.0218
201901,iEQDGLSFUN,0.038
201902,iEQDGLSFUN,0.0116
201903,iEQDGLSFUN,0.007
201904,iEQDGLSFUN,0.0128
